Logitech K120 Key,Bottom Sheet Pad #,Switch 1 Pin,Top Sheet Pad #,Switch 2 Pin
Escape,14,Y5,2,X1
F8,14,Y5,3,X2
Print Screen,14,Y5,4,X3
F10,14,Y5,5,X4
F6,14,Y5,6,X5
F4,14,Y5,7,Y0
F5,14,Y5,8,Y1
/ (Numpad),14,Y5,10,Y3
],14,Y5,13,Y6
4 (Numpad),14,Y5,22,X11
F2,14,Y5,23,X10
F1,14,Y5,24,X9
Left Alt,14,Y5,25,X8
`,15,Y6,2,X1
F9,15,Y6,3,X2
Scroll Lock,15,Y6,4,X3
F11,15,Y6,5,X4
F7,15,Y6,6,X5
4 (Top Row),15,Y6,7,Y0
T,15,Y6,8,Y1
8 (Numpad),15,Y6,10,Y3
Left Windows,15,Y6,11,Y4
Backspace,15,Y6,12,Y5
\,15,Y6,13,Y6
1 (Numpad),15,Y6,22,X11
F3,15,Y6,23,X10
1 (Top Row),15,Y6,24,X9
Left Ctrl,16,X11,1,X0
Tab,16,X11,2,X1
8 (Top Row),16,X11,3,X2
Pause/Break,16,X11,4,X3
F12,16,X11,5,X4
U,16,X11,6,X5
R,16,X11,7,Y0
6 (Top Row),16,X11,8,Y1
End,16,X11,10,Y3
P,16,X11,12,Y5
Delete,16,X11,13,Y6
2 (Numpad),16,X11,22,X11
3 (Top Row),16,X11,23,X10
2 (Top Row),16,X11,24,X9
Q,17,X10,2,X1
9 (Top Row),17,X10,3,X2
Page Up,17,X10,4,X3
- (Top Row),17,X10,5,X4
H,17,X10,6,X5
5 (Top Row),17,X10,7,Y0
Enter,17,X10,8,Y1
Y,17,X10,8,Y1
Left Shift,17,X10,9,Y2
* (Numpad),17,X10,10,Y3
[,17,X10,12,Y5
3 (Numpad),17,X10,22,X11
E,17,X10,23,X10
W,17,X10,24,X9
Right Ctrl,18,X9,1,X0
A,18,X9,2,X1
0 (Top Row),18,X9,3,X2
Num Lock,18,X9,4,X3
= (Top Row),18,X9,5,X4
7 (Top Row),18,X9,6,X5
F,18,X9,7,Y0
G,18,X9,8,Y1
7 (Numpad),18,X9,10,Y3
;,18,X9,12,Y5
Up,18,X9,13,Y6
- (Numpad),18,X9,22,X11
D,18,X9,23,X10
O,19,X8,3,X2
Home,19,X8,4,X3
I,19,X8,5,X4
J,19,X8,6,X5
V,19,X8,7,Y0
B,19,X8,8,Y1
9 (Numpad),19,X8,10,Y3
â€˜,19,X8,12,Y5
Right,19,X8,13,Y6
+ (Numpad),19,X8,22,X11
C,19,X8,23,X10
X,19,X8,24,X9
Right Alt,19,X8,25,X8
Z,20,X7,2,X1
L,20,X7,3,X2
Page Down,20,X7,4,X3
Left,20,X7,5,X4
N,20,X7,6,X5
M,20,X7,7,Y0
",",20,X7,8,Y1
5 (Numpad),20,X7,10,Y3
K,20,X7,12,Y5
0 (Numpad),20,X7,13,Y6
S,20,X7,24,X9
Right Windows,20,X7,26,X7
Caps Lock,21,Y4,2,X1
/,21,Y4,3,X2
Insert,21,Y4,4,X3
Right Shift,21,Y4,5,X4
.,21,Y4,6,X5
Right Function,21,Y4,7,Y0
6 (Numpad),21,Y4,10,Y3
Down,21,Y4,12,Y5
Space,21,Y4,13,Y6
Enter (Numpad),21,Y4,22,X11
. (Numpad),21,Y4,24,X9